matrix: instance=c7i.2xlarge arch=x86_64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  snmalloc prodcons 1024:4096 t=8 rep=1  15:21:23
  scudo prodcons 1024:4096 t=8 rep=1  15:21:30
  rpmalloc prodcons 1024:4096 t=8 rep=1  15:21:50
  libc prodcons 1024:4096 t=8 rep=2  15:21:58
  umem prodcons 1024:4096 t=8 rep=2  15:22:15
  umem@null prodcons 1024:4096 t=8 rep=2  15:22:23
  umem-preload prodcons 1024:4096 t=8 rep=2  15:22:33
  umem-preload@null prodcons 1024:4096 t=8 rep=2  15:23:01
  jemalloc prodcons 1024:4096 t=8 rep=2  15:23:30
  tcmalloc prodcons 1024:4096 t=8 rep=2  15:23:38
  mimalloc prodcons 1024:4096 t=8 rep=2  15:23:46
  snmalloc prodcons 1024:4096 t=8 rep=2  15:23:54
  scudo prodcons 1024:4096 t=8 rep=2  15:24:02
  rpmalloc prodcons 1024:4096 t=8 rep=2  15:24:22
matrix complete -> /home/ec2-user/libumem-iso-cmp-f2a8267df758/docs/results/2026-09-23-c7i.2xlarge-x86_64/prodcons/matrix.toml
