matrix: instance=c7g.2xlarge arch=aarch64 vcpu=8 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 2 4 8
  sizes:      16:64 64:256 256:1024 1024:4096
  runs=3 warmups=1 replicates=2 pin=1 ops=10000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/prodcons/matrix.toml
  libc prodcons 1024:4096 t=4 rep=1  09:26:50
  umem prodcons 1024:4096 t=4 rep=1  09:27:07
  umem@null prodcons 1024:4096 t=4 rep=1  09:27:14
  umem-preload prodcons 1024:4096 t=4 rep=1  09:27:21
  umem-preload@null prodcons 1024:4096 t=4 rep=1  09:27:28
  jemalloc prodcons 1024:4096 t=4 rep=1  09:27:36
  tcmalloc prodcons 1024:4096 t=4 rep=1  09:27:44
  mimalloc prodcons 1024:4096 t=4 rep=1  09:27:53
  snmalloc prodcons 1024:4096 t=4 rep=1  09:28:00
  scudo prodcons 1024:4096 t=4 rep=1  09:28:06
  rpmalloc prodcons 1024:4096 t=4 rep=1  09:28:21
  libc prodcons 1024:4096 t=4 rep=2  09:28:28
  umem prodcons 1024:4096 t=4 rep=2  09:28:44
  umem@null prodcons 1024:4096 t=4 rep=2  09:28:51
  umem-preload prodcons 1024:4096 t=4 rep=2  09:28:58
  umem-preload@null prodcons 1024:4096 t=4 rep=2  09:29:06
  jemalloc prodcons 1024:4096 t=4 rep=2  09:29:14
  tcmalloc prodcons 1024:4096 t=4 rep=2  09:29:22
  mimalloc prodcons 1024:4096 t=4 rep=2  09:29:30
  snmalloc prodcons 1024:4096 t=4 rep=2  09:29:38
  scudo prodcons 1024:4096 t=4 rep=2  09:29:43
  rpmalloc prodcons 1024:4096 t=4 rep=2  09:29:58
  libc prodcons 1024:4096 t=8 rep=1  09:30:04
  umem prodcons 1024:4096 t=8 rep=1  09:30:13
  umem@null prodcons 1024:4096 t=8 rep=1  09:30:21
  umem-preload prodcons 1024:4096 t=8 rep=1  09:30:28
  umem-preload@null prodcons 1024:4096 t=8 rep=1  09:30:34
  jemalloc prodcons 1024:4096 t=8 rep=1  09:30:39
  tcmalloc prodcons 1024:4096 t=8 rep=1  09:30:46
  mimalloc prodcons 1024:4096 t=8 rep=1  09:30:52
  snmalloc prodcons 1024:4096 t=8 rep=1  09:30:58
  scudo prodcons 1024:4096 t=8 rep=1  09:31:06
  rpmalloc prodcons 1024:4096 t=8 rep=1  09:31:25
  libc prodcons 1024:4096 t=8 rep=2  09:31:31
  umem prodcons 1024:4096 t=8 rep=2  09:31:40
  umem@null prodcons 1024:4096 t=8 rep=2  09:31:46
  umem-preload prodcons 1024:4096 t=8 rep=2  09:31:52
  umem-preload@null prodcons 1024:4096 t=8 rep=2  09:31:57
  jemalloc prodcons 1024:4096 t=8 rep=2  09:32:02
  tcmalloc prodcons 1024:4096 t=8 rep=2  09:32:09
  mimalloc prodcons 1024:4096 t=8 rep=2  09:32:15
  snmalloc prodcons 1024:4096 t=8 rep=2  09:32:22
  scudo prodcons 1024:4096 t=8 rep=2  09:32:29
  rpmalloc prodcons 1024:4096 t=8 rep=2  09:32:46
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7g.2xlarge-aarch64/prodcons/matrix.toml
