matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  umem@null prodcons 256:1024 t=8 rep=1  13:03:05
  umem-preload prodcons 256:1024 t=8 rep=1  13:03:13
  umem-preload@null prodcons 256:1024 t=8 rep=1  13:03:22
  jemalloc prodcons 256:1024 t=8 rep=1  13:03:30
  tcmalloc prodcons 256:1024 t=8 rep=1  13:03:38
  mimalloc prodcons 256:1024 t=8 rep=1  13:03:43
  snmalloc prodcons 256:1024 t=8 rep=1  13:03:52
  scudo prodcons 256:1024 t=8 rep=1  13:03:58
  rpmalloc prodcons 256:1024 t=8 rep=1  13:04:12
  libc prodcons 256:1024 t=8 rep=2  13:04:21
  umem prodcons 256:1024 t=8 rep=2  13:04:28
  umem@null prodcons 256:1024 t=8 rep=2  13:04:38
  umem-preload prodcons 256:1024 t=8 rep=2  13:04:46
  umem-preload@null prodcons 256:1024 t=8 rep=2  13:04:54
  jemalloc prodcons 256:1024 t=8 rep=2  13:05:02
  tcmalloc prodcons 256:1024 t=8 rep=2  13:05:08
  mimalloc prodcons 256:1024 t=8 rep=2  13:05:14
  snmalloc prodcons 256:1024 t=8 rep=2  13:05:21
  scudo prodcons 256:1024 t=8 rep=2  13:05:30
  rpmalloc prodcons 256:1024 t=8 rep=2  13:05:44
  libc prodcons 256:1024 t=32 rep=1  13:05:51
  umem prodcons 256:1024 t=32 rep=1  13:05:57
  umem@null prodcons 256:1024 t=32 rep=1  13:06:03
  umem-preload prodcons 256:1024 t=32 rep=1  13:06:09
  umem-preload@null prodcons 256:1024 t=32 rep=1  13:06:15
  jemalloc prodcons 256:1024 t=32 rep=1  13:06:21
  tcmalloc prodcons 256:1024 t=32 rep=1  13:06:26
  mimalloc prodcons 256:1024 t=32 rep=1  13:06:32
  snmalloc prodcons 256:1024 t=32 rep=1  13:06:37
  scudo prodcons 256:1024 t=32 rep=1  13:06:41
  rpmalloc prodcons 256:1024 t=32 rep=1  13:06:58
  libc prodcons 256:1024 t=32 rep=2  13:07:03
  umem prodcons 256:1024 t=32 rep=2  13:07:08
  umem@null prodcons 256:1024 t=32 rep=2  13:07:14
  umem-preload prodcons 256:1024 t=32 rep=2  13:07:20
  umem-preload@null prodcons 256:1024 t=32 rep=2  13:07:27
  jemalloc prodcons 256:1024 t=32 rep=2  13:07:33
  tcmalloc prodcons 256:1024 t=32 rep=2  13:07:38
  mimalloc prodcons 256:1024 t=32 rep=2  13:07:44
  snmalloc prodcons 256:1024 t=32 rep=2  13:07:48
  scudo prodcons 256:1024 t=32 rep=2  13:07:53
  rpmalloc prodcons 256:1024 t=32 rep=2  13:08:09
  libc prodcons 256:1024 t=64 rep=1  13:08:14
  umem prodcons 256:1024 t=64 rep=1  13:08:22
  umem@null prodcons 256:1024 t=64 rep=1  13:08:30
  umem-preload prodcons 256:1024 t=64 rep=1  13:08:39
  umem-preload@null prodcons 256:1024 t=64 rep=1  13:08:47
  jemalloc prodcons 256:1024 t=64 rep=1  13:08:56
  tcmalloc prodcons 256:1024 t=64 rep=1  13:09:03
  mimalloc prodcons 256:1024 t=64 rep=1  13:09:12
  snmalloc prodcons 256:1024 t=64 rep=1  13:09:19
  scudo prodcons 256:1024 t=64 rep=1  13:09:26
  rpmalloc prodcons 256:1024 t=64 rep=1  13:09:43
  libc prodcons 256:1024 t=64 rep=2  13:09:50
  umem prodcons 256:1024 t=64 rep=2  13:09:58
  umem@null prodcons 256:1024 t=64 rep=2  13:10:06
  umem-preload prodcons 256:1024 t=64 rep=2  13:10:15
  umem-preload@null prodcons 256:1024 t=64 rep=2  13:10:23
  jemalloc prodcons 256:1024 t=64 rep=2  13:10:31
