arm,label,replicate,allocator,workload,threads,total_ops,ops_per_thread,elapsed_sec,ops_per_sec,lat_min,lat_p50,lat_p90,lat_p99,lat_p999,lat_max,lat_mean,rss_at_live_peak,vmhwm_bytes,allocated_bytes,live_bytes_at_peak,live_bytes_median,frag,frag_median,frag_samples,cpu_user_ms,cpu_sys_ms,ops_cov,runs,unstable,ops_floor_raised,alloc_failures
post,preload-multi-8-64:256,3,umem-preload,multi-thread,8,20000000,2500000,0.573134,34895843.46,18,21,24,26,87,397055,22,9474048,9474048,3190170068,0,0,,,0,3825.3,0.0,0.0826,3,0,0,0
pre,preload-multi-192-64:256,1,umem-preload,multi-thread,192,19999872,104166,24.209001,826133.72,18,38,49,64,195,2290321,41,12619776,12619776,3190237041,0,0,,,0,36007.4,4553457.3,0.0007,3,0,0,0
post,preload-multi-192-64:256,1,umem-preload,multi-thread,192,19999872,104166,0.060565,330223586.91,18,32,41,126,411,35334202,86,12599296,12599296,3190237041,0,0,,,0,4836.3,21.5,0.0340,3,0,0,0
pre,preload-multi-192-64:256,2,umem-preload,multi-thread,192,19999872,104166,24.042328,831860.86,18,37,49,63,196,11413297,54,12615680,12615680,3190237041,0,0,,,0,35586.7,4524836.5,0.0000,3,0,0,0
post,preload-multi-192-64:256,2,umem-preload,multi-thread,192,19999872,104166,0.061519,325098476.62,18,34,41,133,469,33545763,109,12603392,12603392,3190237041,0,0,,,0,4673.0,11.9,0.0511,3,0,0,0
pre,preload-multi-192-64:256,3,umem-preload,multi-thread,192,19999872,104166,24.057471,831337.27,18,37,49,63,202,10365467,56,12611584,12611584,3190237041,0,0,,,0,37307.0,4524499.8,0.0002,3,0,0,0
post,preload-multi-192-64:256,3,umem-preload,multi-thread,192,19999872,104166,0.062983,317542232.79,17,33,41,130,438,31465333,94,12623872,12623872,3190237041,0,0,,,0,4714.5,22.3,0.0499,3,0,0,0
pre,preload-prodcons-8-64:256,1,umem-preload,producer-consumer,8,40000000,5000000,9.847643,4061885.80,18,397,2605,8568,16292,672298,994,24625152,24625152,3190175731,0,0,,,0,41310.4,29543.1,0.0033,3,0,0,0
post,preload-prodcons-8-64:256,1,umem-preload,producer-consumer,8,40000000,5000000,3.987881,10030389.92,18,125,392,698,4401,253993,189,22790144,22790144,3190175731,0,0,,,0,29234.0,460.6,0.1092,3,1,0,0
pre,preload-prodcons-8-64:256,2,umem-preload,producer-consumer,8,40000000,5000000,10.401062,3845760.97,18,359,2567,8584,15831,1933153,950,24854528,24854528,3190175731,0,0,,,0,47096.7,29947.1,0.0034,3,0,0,0
post,preload-prodcons-8-64:256,2,umem-preload,producer-consumer,8,40000000,5000000,3.941101,10149447.28,18,132,387,667,4316,155574,181,22634496,22634496,3190175731,0,0,,,0,28428.1,640.3,0.0202,3,0,0,0
pre,preload-prodcons-8-64:256,3,umem-preload,producer-consumer,8,40000000,5000000,10.497619,3810387.82,18,362,2592,8016,14889,1936430,955,23384064,23384064,3190175731,0,0,,,0,49199.4,29404.0,0.0025,3,0,0,0
post,preload-prodcons-8-64:256,3,umem-preload,producer-consumer,8,40000000,5000000,3.815361,10483936.16,18,105,294,530,2801,192475,135,24539136,24539136,3190175731,0,0,,,0,29048.8,339.8,0.0478,3,0,0,0
pre,preload-prodcons-192-64:256,1,umem-preload,producer-consumer,192,39999936,208333,32.276297,1239297.55,21,3959,248133,984578,1776410,92078524,77716,202674176,202674176,3190074487,0,0,,,0,2164168.6,733480.5,0.0901,3,0,0,0
post,preload-prodcons-192-64:256,1,umem-preload,producer-consumer,192,39999936,208333,21.652388,1847368.32,20,533,5069,21447,50394,476605024,2582,200269824,200269824,3190074487,0,0,,,0,3267592.7,91380.3,0.0806,3,0,0,0
pre,preload-prodcons-192-64:256,2,umem-preload,producer-consumer,192,39999936,208333,40.944406,976932.87,22,2600,330314,1420376,2729638,39780429,98450,218947584,218947584,3190074487,0,0,,,0,2901343.6,663615.5,0.5130,3,1,0,0
post,preload-prodcons-192-64:256,2,umem-preload,producer-consumer,192,39999936,208333,22.618990,1768422.70,19,419,3218,17881,68335,535796907,2498,194740224,194740224,3190074487,0,0,,,0,3291792.9,109700.0,0.0740,3,0,0,0
pre,preload-prodcons-192-64:256,3,umem-preload,producer-consumer,192,39999936,208333,68.757790,581751.34,22,769,438825,3023941,5638175,24739937,165102,204107776,204107776,3190074487,0,0,,,0,6020272.8,686525.9,0.6238,3,1,0,0
post,preload-prodcons-192-64:256,3,umem-preload,producer-consumer,192,39999936,208333,23.349073,1713127.37,19,311,2856,16841,40045,526376529,1892,199409664,199409664,3190074487,0,0,,,0,3663495.9,88142.8,0.0405,3,0,0,0
post-api,api-vs-preload-multi-1,1,umem,multi-thread,1,20000000,20000000,2.676354,7472852.39,16,19,22,23,24,47059,19,11091968,11091968,789934599,0,0,,,0,2676.2,0.0,0.0090,3,0,0,0
post-preload,api-vs-preload-multi-1,1,umem-preload,multi-thread,1,20000000,20000000,3.293818,6071980.89,18,20,21,24,24,73169,20,9490432,9490432,789934599,0,0,,,0,3293.5,0.0,0.0020,3,0,0,0
post-api,api-vs-preload-multi-1,2,umem,multi-thread,1,20000000,20000000,2.714476,7367903.80,15,19,21,23,23,52954,19,11087872,11087872,789934599,0,0,,,0,2714.2,0.0,0.0058,3,0,0,0
post-preload,api-vs-preload-multi-1,2,umem-preload,multi-thread,1,20000000,20000000,3.315168,6032875.87,18,20,21,23,24,72726,20,9478144,9478144,789934599,0,0,,,0,3314.5,0.0,0.0045,3,0,0,0
post-api,api-vs-preload-multi-1,3,umem,multi-thread,1,20000000,20000000,2.679367,7464450.44,16,19,22,23,24,42893,19,11083776,11083776,789934599,0,0,,,0,2679.2,0.0,0.0021,3,0,0,0
post-preload,api-vs-preload-multi-1,3,umem-preload,multi-thread,1,20000000,20000000,3.291117,6076963.66,18,20,21,23,24,2480582,21,9490432,9490432,789934599,0,0,,,0,3290.9,0.0,0.0054,3,0,0,0
post-api,api-vs-preload-multi-8,1,umem,multi-thread,8,20000000,2500000,0.455303,43926785.43,15,19,21,75,199,93123,21,9457664,9457664,790104596,0,0,,,0,3126.0,0.0,0.0374,3,0,0,0
post-preload,api-vs-preload-multi-8,1,umem-preload,multi-thread,8,20000000,2500000,0.655914,30491815.85,17,20,21,24,105,10003597,22,9490432,9490432,790104596,0,0,,,0,4536.0,0.0,0.0378,3,0,0,0
post-api,api-vs-preload-multi-8,2,umem,multi-thread,8,20000000,2500000,0.452699,44179424.06,16,19,20,48,153,52238,20,9469952,9469952,790104596,0,0,,,0,3044.9,0.0,0.0355,3,0,0,0
post-preload,api-vs-preload-multi-8,2,umem-preload,multi-thread,8,20000000,2500000,0.664668,30090193.16,18,20,21,24,88,157511,21,9490432,9490432,790104596,0,0,,,0,4479.2,0.0,0.0673,3,0,0,0
post-api,api-vs-preload-multi-8,3,umem,multi-thread,8,20000000,2500000,0.463095,43187688.84,16,19,21,111,189,10004417,23,9465856,9465856,790104596,0,0,,,0,3033.8,0.0,0.0116,3,0,0,0
post-preload,api-vs-preload-multi-8,3,umem-preload,multi-thread,8,20000000,2500000,0.659892,30307992.87,17,20,21,25,114,74354,21,9478144,9478144,790104596,0,0,,,0,4323.8,0.0,0.0020,3,0,0,0
post-api,api-vs-preload-multi-32,1,umem,multi-thread,32,20000000,625000,0.129654,154256259.54,16,20,23,79,182,136507,22,9474048,9474048,790066561,0,0,,,0,3438.5,20.1,0.0236,3,0,0,0
post-preload,api-vs-preload-multi-32,1,umem-preload,multi-thread,32,20000000,625000,0.174977,114300722.30,17,21,22,33,106,565900,22,9490432,9490432,790066561,0,0,,,0,4669.2,0.1,0.0129,3,0,0,0
post-api,api-vs-preload-multi-32,2,umem,multi-thread,32,20000000,625000,0.125305,159610271.30,16,20,22,98,205,222680,22,9474048,9474048,790066561,0,0,,,0,3457.5,0.0,0.0158,3,0,0,0
post-preload,api-vs-preload-multi-32,2,umem-preload,multi-thread,32,20000000,625000,0.166784,119915573.68,18,21,22,25,99,306682,22,9478144,9478144,790066561,0,0,,,0,4423.6,0.0,0.0792,3,0,0,0
post-api,api-vs-preload-multi-32,3,umem,multi-thread,32,20000000,625000,0.129548,154383156.66,16,20,22,67,167,111671,21,9465856,9465856,790066561,0,0,,,0,3416.1,0.0,0.0247,3,0,0,0
post-preload,api-vs-preload-multi-32,3,umem-preload,multi-thread,32,20000000,625000,0.183756,108840244.07,18,21,22,36,104,430966,22,9486336,9486336,790066561,0,0,,,0,4727.4,0.0,0.0565,3,0,0,0
post-api,api-vs-preload-multi-64,1,umem,multi-thread,64,20000000,312500,0.102415,195284157.10,16,22,25,61,204,10015910,36,11034624,11034624,790072016,0,0,,,0,3374.7,0.0,0.0508,3,0,0,0
post-preload,api-vs-preload-multi-64,1,umem-preload,multi-thread,64,20000000,312500,0.136357,146673941.40,18,24,25,29,111,50064313,43,11034624,11034624,790072016,0,0,,,0,4589.2,0.0,0.0301,3,0,0,0
post-api,api-vs-preload-multi-64,2,umem,multi-thread,64,20000000,312500,0.111136,179959996.69,16,22,24,57,160,20021305,37,11026432,11026432,790072016,0,0,,,0,3448.5,0.0,0.0341,3,0,0,0
post-preload,api-vs-preload-multi-64,2,umem-preload,multi-thread,64,20000000,312500,0.134843,148320197.38,18,24,25,29,160,20010767,35,11042816,11042816,790072016,0,0,,,0,4348.4,0.0,0.0498,3,0,0,0
post-api,api-vs-preload-multi-64,3,umem,multi-thread,64,20000000,312500,0.098087,203899920.37,16,22,25,84,290,10072496,32,11042816,11042816,790072016,0,0,,,0,3482.8,0.0,0.0660,3,0,0,0
post-preload,api-vs-preload-multi-64,3,umem-preload,multi-thread,64,20000000,312500,0.125394,159497503.75,18,24,25,28,92,30014185,28,11026432,11026432,790072016,0,0,,,0,4394.7,0.5,0.0150,3,0,0,0
post-api,api-vs-preload-multi-128,1,umem,multi-thread,128,20000000,156250,0.069794,286556294.54,16,28,51,108,184,20026679,43,11026432,11026432,790052932,0,0,,,0,3632.9,12.6,0.0255,3,0,0,0
