matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  sizes:      16:64 64:256
  runs=3 warmups=1 replicates=2 pin=1 ops=20000000
  -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag/matrix.toml
  scudo frag 64:256 t=192 rep=1  16:14:37
  rpmalloc frag 64:256 t=192 rep=1  16:14:48
  libc frag 64:256 t=192 rep=2  16:14:58
  umem frag 64:256 t=192 rep=2  16:15:08
  umem@null frag 64:256 t=192 rep=2  16:15:22
  umem-preload frag 64:256 t=192 rep=2  16:15:36
  umem-preload@null frag 64:256 t=192 rep=2  16:15:51
  jemalloc frag 64:256 t=192 rep=2  16:16:05
  tcmalloc frag 64:256 t=192 rep=2  16:16:15
  mimalloc frag 64:256 t=192 rep=2  16:16:24
  snmalloc frag 64:256 t=192 rep=2  16:16:34
  scudo frag 64:256 t=192 rep=2  16:16:44
  rpmalloc frag 64:256 t=192 rep=2  16:16:54
matrix complete -> /home/ec2-user/libumem-iso-cmp2-d6f04abd8f1b/docs/results/2026-09-24-c7i.metal-48xl-x86_64/frag/matrix.toml
