matrix: instance=c7i.metal-48xl arch=x86_64 vcpu=192 governor=performance
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  tcmalloc prodcons 256:1024 t=192 rep=2  14:05:26
  mimalloc prodcons 256:1024 t=192 rep=2  14:06:11
  snmalloc prodcons 256:1024 t=192 rep=2  14:06:55
  scudo prodcons 256:1024 t=192 rep=2  14:07:42
  rpmalloc prodcons 256:1024 t=192 rep=2  14:08:33
  libc prodcons 1024:4096 t=1 rep=1  14:09:17
  umem prodcons 1024:4096 t=1 rep=1  14:09:34
  umem@null prodcons 1024:4096 t=1 rep=1  14:09:49
  umem-preload prodcons 1024:4096 t=1 rep=1  14:10:05
  umem-preload@null prodcons 1024:4096 t=1 rep=1  14:10:21
  jemalloc prodcons 1024:4096 t=1 rep=1  14:10:37
  tcmalloc prodcons 1024:4096 t=1 rep=1  14:10:54
  mimalloc prodcons 1024:4096 t=1 rep=1  14:11:09
  snmalloc prodcons 1024:4096 t=1 rep=1  14:11:25
  scudo prodcons 1024:4096 t=1 rep=1  14:11:43
  rpmalloc prodcons 1024:4096 t=1 rep=1  14:12:02
  libc prodcons 1024:4096 t=1 rep=2  14:12:41
  umem prodcons 1024:4096 t=1 rep=2  14:12:57
  umem@null prodcons 1024:4096 t=1 rep=2  14:13:12
  umem-preload prodcons 1024:4096 t=1 rep=2  14:13:28
  umem-preload@null prodcons 1024:4096 t=1 rep=2  14:13:44
  jemalloc prodcons 1024:4096 t=1 rep=2  14:14:00
  tcmalloc prodcons 1024:4096 t=1 rep=2  14:14:17
  mimalloc prodcons 1024:4096 t=1 rep=2  14:14:32
  snmalloc prodcons 1024:4096 t=1 rep=2  14:14:48
  scudo prodcons 1024:4096 t=1 rep=2  14:15:06
  rpmalloc prodcons 1024:4096 t=1 rep=2  14:15:25
  libc prodcons 1024:4096 t=8 rep=1  14:16:04
  umem prodcons 1024:4096 t=8 rep=1  14:16:20
  umem@null prodcons 1024:4096 t=8 rep=1  14:16:28
  umem-preload prodcons 1024:4096 t=8 rep=1  14:16:35
  umem-preload@null prodcons 1024:4096 t=8 rep=1  14:16:43
  jemalloc prodcons 1024:4096 t=8 rep=1  14:16:51
  tcmalloc prodcons 1024:4096 t=8 rep=1  14:17:00
  mimalloc prodcons 1024:4096 t=8 rep=1  14:17:07
  snmalloc prodcons 1024:4096 t=8 rep=1  14:17:14
  scudo prodcons 1024:4096 t=8 rep=1  14:17:19
  rpmalloc prodcons 1024:4096 t=8 rep=1  14:17:41
  libc prodcons 1024:4096 t=8 rep=2  14:17:48
  umem prodcons 1024:4096 t=8 rep=2  14:18:04
  umem@null prodcons 1024:4096 t=8 rep=2  14:18:11
  umem-preload prodcons 1024:4096 t=8 rep=2  14:18:18
  umem-preload@null prodcons 1024:4096 t=8 rep=2  14:18:26
  jemalloc prodcons 1024:4096 t=8 rep=2  14:18:34
  tcmalloc prodcons 1024:4096 t=8 rep=2  14:18:43
  mimalloc prodcons 1024:4096 t=8 rep=2  14:18:51
  snmalloc prodcons 1024:4096 t=8 rep=2  14:18:58
  scudo prodcons 1024:4096 t=8 rep=2  14:19:04
  rpmalloc prodcons 1024:4096 t=8 rep=2  14:19:22
  libc prodcons 1024:4096 t=32 rep=1  14:19:30
  umem prodcons 1024:4096 t=32 rep=1  14:19:47
  umem@null prodcons 1024:4096 t=32 rep=1  14:20:03
